bu_code	mrf	se.mrf
BU00340101	0.1718335	0.0998398
BU00340102	0.177324	0.0964225
BU00340103	0.1762961	0.0954436
BU00340104	0.163076	0.1036448
BU00340105	0.1608706	0.0836834
BU00340106	0.1770039	0.0943751
BU00340107	0.1738338	0.1052338
BU00340108	0.1485423	0.0999754
BU00340109	0.0897112	0.1719904
BU00340110	0.1168146	0.0706497
BU00340171	0.1867562	0.1364268
BU00340173	0.0221473	0.0577366
BU00340199	0.140972	0.0680941
BU00340201	0.1756875	0.0727443
BU00340202	0.1707791	0.0831174
BU00340203	0.154146	0.0967716
BU00340204	0.1714445	0.1045009
BU00340205	0.1781862	0.0857431
BU00340206	0.1710084	0.0784785
BU00340207	0.1451084	0.0658394
BU00340208	0.1303316	0.082524
BU00340209	0.1763707	0.0828261
BU00340210	0.1641884	0.0810464
BU00340211	0.1615049	0.0695533
BU00340212	0.1373742	0.0793483
BU00340213	0.1546919	0.1040837
BU00340214	0.1454264	0.0967376
BU00340215	0.1482952	0.0656511
BU00340271	0.1836451	0.0835158
BU00340272	0.174147	0.1163238
BU00340273	0.1322918	0.1016088
BU00340274	0.1432576	0.0672589
BU00340275	0.1412748	0.0738904
BU00340276	0.1242369	0.1089872
BU00340299	0.1467204	0.060416
BU00340301	0.1155639	0.1047057
BU00340302	0.1062646	0.1099823
BU00340303	0.1128378	0.1083269
BU00340304	0.1208874	0.1185792
BU00340305	0.1326238	0.0918455
BU00340306	0.1253792	0.0923955
BU00340307	0.1165018	0.1154516
BU00340308	0.1121395	0.1164257
BU00340309	0.1068149	0.1109066
BU00340310	0.1065951	0.1041454
BU00340311	0.1045331	0.1169813
BU00340312	0.1036464	0.1222058
BU00340313	0.1024296	0.1211928
BU00340371	0.1230248	0.1211977
BU00340372	0.1254836	0.0927734
BU00340373	0.1116213	0.106744
BU00340399	0.1097802	0.0800888
BU00340401	0.0760202	0.1282623
BU00340402	0.0821315	0.1212749
BU00340403	0.0908461	0.1267461
BU00340404	0.0775175	0.1224988
BU00340405	0.0544308	0.0963461
BU00340471	0.1170295	0.1076798
BU00340472	0.0918113	0.1213871
BU00340473	0.0850768	0.1277827
BU00340499	0.1053285	0.0924616
BU00340502	0.1194377	0.2241791
BU00340503	0.094498	0.1391223
BU00340571	0.1047291	0.1186933
BU00340599	0.0918453	0.0704422
BU00340699	0.1113327	0.0801327
BU00500000	-0.0286302	0.1259209
BU00500001	-0.0267452	0.08487
BU00500002	-0.0186465	0.0796079
BU00500003	-0.0178295	0.0825175
BU00500004	-0.0253331	0.0949797
BU00500005	-0.013598	0.0910452
BU00500006	0.0120658	0.0766927
BU00500007	0.0229748	0.0767249
BU00500008	-0.0211843	0.0965813
BU00500009	0.0019775	0.101721
BU00500010	0.0174167	0.1796636
BU02035400	0.0638703	0.0481823
BU02035401	0.0665775	0.0740437
BU02035402	0.0644115	0.104306
BU02035403	0.0677667	0.0911569
BU02035404	0.0656724	0.08366
BU02035405	0.0637286	0.1072981
BU02035406	0.0704744	0.0759068
BU02035407	0.0640834	0.0944789
BU02035408	0.0705654	0.0840146
BU02035409	0.0711954	0.0883895
BU02035410	0.0694573	0.0693419
BU02035411	0.064021	0.1014597
BU02035412	0.0739554	0.1433152
BU02035413	0.0741641	0.0671596
BU02035414	0.0776723	0.0758808
BU02035415	0.0738205	0.0634651
BU02035425	0.0714999	0.1209266
BU02035426	0.0714999	0.1209266
BU02035530	0.0833281	0.0614634
BU02035531	0.0849175	0.0948848
BU02035532	0.0865506	0.1034588
BU02035533	0.084758	0.083686
BU02035534	0.0869472	0.1085994
BU02035535	0.0814201	0.0948942
BU02035536	0.0855249	0.0911366
BU02035537	0.081917	0.0917634
BU02035538	0.0846304	0.0934447
BU02035539	0.0790847	0.1095062
BU02035540	0.0863417	0.1038654
BU02035541	0.080188	0.1053384
BU02035650	0.1069859	0.0810758
BU02035651	0.1663309	0.1783895
BU02035652	0.1663309	0.1783895
BU02035780	0.1031177	0.0866311
BU02035781	0.1181939	0.1378353
BU02035875	0.0119898	0.0544194
BU02035876	0.0257512	0.1207339
BU02035877	0.0358363	0.1654176
BU02035960	0.07217	0.0986399
BU02035961	0.0001852	0.2427117
BU02036070	0.0158407	0.0665881
BU02036071	-0.0201769	0.2199244
BU02036190	0.0114192	0.0631745
BU02036191	-0.0431178	0.1666951
BU02036395	-0.0507703	0.0610479
BU02090101	0.1674192	0.0982995
BU02090131	0.1681497	0.1416491
BU02090147	0.165113	0.129882
BU02090202	0.177387	0.0766015
BU02090203	0.1711507	0.0761627
BU02090204	0.1731132	0.0681578
BU02090271	0.1572784	0.0928934
BU02090272	0.1513163	0.0944524
BU02090273	0.1436871	0.0978349
BU02090274	0.1615772	0.0889598
BU02090275	0.1623891	0.0895981
BU02090276	0.151437	0.0932398
BU02090407	0.2079604	0.0664864
BU02090408	0.1983531	0.0824049
BU02090409	0.1958382	0.0667203
BU02090491	0.1627227	0.1563204
BU02140000	-0.1007645	0.18258
BU02140001	-0.0649059	0.1424844
BU02140002	-0.0649059	0.1424844
BU02140003	-0.0662636	0.2220457
BU02140004	0.0616227	0.1650447
BU02140006	0.0160162	0.0598923
BU02140007	0.0530671	0.0800169
BU02140008	0.0027681	0.0711374
BU02140009	0.0249699	0.0593478
BU02140100	-0.1592333	0.1451595
BU02140101	0.038071	0.1170622
BU02140109	-0.0107176	0.0551152
BU02140200	0.1573232	0.1490884
BU02140201	0.1033734	0.0805269
BU02140202	0.0325382	0.1718124
BU02140206	0.1623204	0.0486238
BU02140207	0.1157638	0.0579581
BU02140208	0.0689791	0.0796666
BU02140209	0.0968385	0.0691422
BU02140300	0.1220451	0.1085242
BU02140301	0.1501174	0.069805
BU02140305	0.1693884	0.0535676
BU02140306	0.1898138	0.0473111
