bu_code	pop	p	se.p
BU00340101	1356	0.566	0.0216
BU00340102	2137	0.58	0.0188
BU00340103	1827	0.571	0.0209
BU00340104	1796	0.554	0.0225
BU00340105	1797	0.579	0.0182
BU00340106	2191	0.567	0.0214
BU00340107	2135	0.55	0.0239
BU00340108	2743	0.578	0.0213
BU00340109	1191	0.495	0.0364
BU00340110	347	0.483	0.0169
BU00340171	28	0.543	0.0325
BU00340173	NA	NA	NA
BU00340199	NA	NA	NA
BU00340201	3575	0.52	0.0169
BU00340202	7976	0.535	0.0191
BU00340203	4160	0.551	0.0221
BU00340204	4315	0.541	0.0235
BU00340205	2669	0.539	0.0196
BU00340206	5977	0.559	0.0177
BU00340207	4452	0.534	0.0158
BU00340208	7286	0.539	0.0188
BU00340209	1806	0.561	0.0196
BU00340210	6164	0.561	0.0185
BU00340211	7681	0.576	0.0154
BU00340212	8599	0.532	0.018
BU00340213	5211	0.542	0.0232
BU00340214	7022	0.533	0.0221
BU00340215	4781	0.502	0.016
BU00340271	NA	NA	NA
BU00340272	10	0.493	0.0282
BU00340273	NA	NA	NA
BU00340274	NA	NA	NA
BU00340275	NA	NA	NA
BU00340276	NA	NA	NA
BU00340299	12	0.386	0.0162
BU00340301	1392	0.544	0.024
BU00340302	4124	0.533	0.0253
BU00340303	3684	0.518	0.0249
BU00340304	3022	0.566	0.0271
BU00340305	3412	0.557	0.0212
BU00340306	3103	0.53	0.0211
BU00340307	3330	0.528	0.026
BU00340308	4090	0.551	0.026
BU00340309	3885	0.532	0.025
BU00340310	1174	0.512	0.0241
BU00340311	4171	0.527	0.0265
BU00340312	4579	0.519	0.0279
BU00340313	740	0.534	0.028
BU00340371	41	0.518	0.0288
BU00340372	78	0.574	0.0274
BU00340373	170	0.493	0.0249
BU00340399	38	0.475	0.019
BU00340401	2141	0.466	0.0295
BU00340402	1659	0.493	0.028
BU00340403	3916	0.458	0.0291
BU00340404	NA	NA	NA
BU00340405	342	0.472	0.0227
BU00340471	NA	NA	NA
BU00340472	NA	NA	NA
BU00340473	NA	NA	NA
BU00340499	NA	NA	NA
BU00340502	969	0.515	0.052
BU00340503	398	0.442	0.0325
BU00340571	NA	NA	NA
BU00340599	216	0.503	0.0189
BU00340699	NA	NA	NA
BU00500000	1390	0.512	0.0269
BU00500001	2757	0.505	0.0189
BU00500002	3923	0.497	0.0176
BU00500003	4588	0.479	0.0187
BU00500004	1982	0.444	0.0214
BU00500005	NA	NA	NA
BU00500006	1381	0.389	0.0183
BU00500007	452	0.429	0.0215
BU00500008	159	0.447	0.0238
BU00500009	66	0.484	0.0238
BU00500010	NA	NA	NA
BU02035400	1392	0.445	0.0116
BU02035401	1432	0.482	0.0165
BU02035402	626	0.497	0.0229
BU02035403	795	0.49	0.0193
BU02035404	1634	0.529	0.0184
BU02035405	1075	0.48	0.024
BU02035406	582	0.462	0.017
BU02035407	1078	0.489	0.0212
BU02035408	3119	0.52	0.0183
BU02035409	1245	0.499	0.0192
BU02035410	1778	0.552	0.0155
BU02035411	1963	0.481	0.0227
BU02035412	2577	0.479	0.0325
BU02035413	24	0.523	0.0155
BU02035414	2475	0.463	0.0168
BU02035415	1744	0.401	0.0143
BU02035425	14	0.446	0.0267
BU02035426	37	0.446	0.0271
BU02035530	1483	0.478	0.0141
BU02035531	459	0.537	0.0216
BU02035532	517	0.545	0.023
BU02035533	325	0.503	0.0195
BU02035534	250	0.509	0.0243
BU02035535	1113	0.522	0.0216
BU02035536	309	0.513	0.0204
BU02035537	607	0.478	0.0208
BU02035538	910	0.517	0.0212
BU02035539	1065	0.484	0.0252
BU02035540	432	0.476	0.0232
BU02035541	391	0.43	0.0245
BU02035650	2105	0.465	0.0189
BU02035651	1124	0.495	0.0402
BU02035652	266	0.417	0.0409
BU02035780	643	0.503	0.0195
BU02035781	1011	0.524	0.0299
BU02035875	575	0.467	0.0138
BU02035876	379	0.508	0.0259
BU02035877	160	0.495	0.0354
BU02035960	614	0.468	0.022
BU02035961	511	0.474	0.0515
BU02036070	328	0.454	0.0154
BU02036071	593	0.484	0.0484
BU02036190	202	0.447	0.0167
BU02036191	165	0.484	0.0394
BU02036395	98	0.455	0.0151
BU02090101	39	0.488	0.0187
BU02090131	NA	NA	NA
BU02090147	NA	NA	NA
BU02090202	103	0.521	0.0151
BU02090203	157	0.467	0.0168
BU02090204	107	0.602	0.0159
BU02090271	700	0.558	0.0203
BU02090272	560	0.56	0.0174
BU02090273	684	0.554	0.0189
BU02090274	149	0.505	0.0146
BU02090275	412	0.472	0.0203
BU02090276	93	0.495	0.0211
BU02090407	289	0.505	0.0152
BU02090408	308	0.518	0.0187
BU02090409	15	0.459	0.0196
BU02090491	1008	0.55	0.0341
BU02140000	369	0.472	0.0406
BU02140001	708	0.505	0.0315
BU02140002	619	0.499	0.0315
BU02140003	231	0.47	0.0509
BU02140004	305	0.519	0.0362
BU02140006	53	0.449	0.0138
BU02140007	100	0.459	0.0186
BU02140008	64	0.45	0.0188
BU02140009	371	0.476	0.0134
BU02140100	2120	0.459	0.0303
BU02140101	427	0.521	0.0254
BU02140109	379	0.469	0.012
BU02140200	827	0.555	0.0325
BU02140201	918	0.526	0.0176
BU02140202	112	0.502	0.0383
BU02140206	131	0.6	0.0125
BU02140207	337	0.517	0.0135
BU02140208	46	0.495	0.0173
BU02140209	157	0.497	0.0171
BU02140300	2692	0.533	0.0242
BU02140301	343	0.534	0.0161
BU02140305	242	0.506	0.0138
BU02140306	852	0.547	0.0111
BU02140307	204	0.48	0.0154
BU02140308	620	0.507	0.013
BU02140400	854	0.562	0.033
BU02140402	288	0.496	0.0492
BU02140408	422	0.517	0.0153
BU02140409	124	0.508	0.0188
BU02140500	2571	0.573	0.0371
BU02140501	282	0.555	0.0488
BU02140502	758	0.629	0.0432
BU02140503	152	0.55	0.0386
BU02140507	162	0.489	0.0176
BU02140508	687	0.549	0.0117
BU02140509	566	0.545	0.0184
BU02140600	144	0.49	0.0519
BU02140608	174	0.475	0.0201
BU02140609	93	0.486	0.0169
BU02160000	2141	0.467	0.0202
BU02160001	1484	0.475	0.0122
BU02160002	2789	0.477	0.0173
BU02160003	6257	0.524	0.0132
BU02160004	1052	0.516	0.0204
BU02160005	5602	0.463	0.0202
BU02160008	116	0.444	0.0115
BU02160009	1908	0.472	0.0094
BU02250001	5202	0.559	0.0141
BU02250002	2466	0.559	0.0126
BU02250003	1665	0.505	0.0187
BU02250004	75	0.498	0.0136
BU02250005	12	0.568	0.0149
BU02250006	14	0.616	0.0107
BU02250101	886	0.511	0.0195
BU02250102	99	0.529	0.0134
BU02250201	1092	0.564	0.0273
BU02250202	193	0.491	0.0109
BU02250203	NA	NA	NA
BU02250301	1341	0.614	0.0227
BU02250302	80	0.546	0.0151
BU02250303	NA	NA	NA
BU02250401	850	0.581	0.0382
BU02250402	114	0.532	0.0169
BU02250403	282	0.501	0.0122
BU02280101	3248	0.443	0.0197
BU02280102	295	0.483	0.0188
BU02280103	1489	0.459	0.0217
BU02280104	1637	0.462	0.0248
BU02280105	1645	0.478	0.0204
BU02280201	2178	0.461	0.0193
BU02280202	1751	0.483	0.023
BU02280203	2525	0.469	0.0268
BU02280204	2240	0.501	0.0248
BU02280205	1677	0.465	0.0216
BU02280206	1645	0.487	0.0227
BU02280301	1683	0.481	0.0218
BU02280302	1553	0.506	0.0227
BU02280303	2071	0.47	0.0209
BU02280305	1649	0.515	0.0199
BU02280306	1864	0.52	0.0185
BU02280307	1822	0.499	0.0224
BU02280401	734	0.452	0.0252
BU02280402	1721	0.479	0.0226
BU02280403	731	0.433	0.0214
BU02280501	600	0.445	0.0245
BU02281001	1792	0.512	0.0197
BU02281002	1760	0.5	0.0188
BU02281003	2871	0.453	0.016
BU02281004	744	0.386	0.0167
BU02281101	2517	0.521	0.0231
BU02281102	1456	0.504	0.0235
BU02281103	1306	0.494	0.021
BU02281201	855	0.492	0.0221
BU02281202	1660	0.494	0.0247
BU02281203	1817	0.501	0.0194
BU02281204	1805	0.502	0.0222
BU02281301	45	0.49	0.0166
BU02281302	54	0.5	0.0197
BU02281303	NA	NA	NA
BU02281304	18	0.473	0.0227
BU02281305	63	0.432	0.0225
BU02281306	42	0.436	0.0173
BU02282031	317	0.45	0.0146
BU02282032	791	0.436	0.0155
BU02282051	718	0.472	0.0168
BU02283001	2802	0.449	0.0201
BU02283002	1947	0.428	0.0157
BU02283003	2614	0.442	0.0123
BU02283004	3521	0.45	0.0153
BU02283031	629	0.416	0.0112
BU02283051	420	0.461	0.0143
BU02284001	3012	0.489	0.0306
BU02284002	2033	0.508	0.0304
BU02284003	1020	0.491	0.0311
BU02284031	1088	0.446	0.0132
BU02284032	336	0.444	0.0183
BU02284033	891	0.449	0.0161
BU02284034	1199	0.447	0.0162
BU02284051	373	0.531	0.0197
BU02285001	1466	0.459	0.0362
BU02285031	913	0.451	0.0153
BU02286001	179	0.466	0.0237
BU02286031	171	0.465	0.0162
BU02287031	843	0.447	0.0247
BU02288001	927	0.49	0.0408
BU02288031	622	0.467	0.0263
BU02288051	363	0.601	0.0257
BU02289031	498	0.465	0.031
BU02330000	8187	0.483	0.0127
BU02330001	3114	0.497	0.0128
BU02330002	4783	0.483	0.0137
BU02330003	1598	0.532	0.0158
BU02330004	794	0.48	0.0114
